city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Russell,-35.2610,174.1220,New Zealand,NZ,Northland,,800,800
Ohau,-40.6600,175.2500,New Zealand,NZ,Manawatu-Wanganui,,800,800
Omaha,-36.3320,174.7750,New Zealand,NZ,Auckland,,800,800
Outram,-45.8580,170.2310,New Zealand,NZ,Otago,,790,790
Otautau,-46.1450,168.0000,New Zealand,NZ,Southland,,790,790
Waiouru,-39.4690,175.6760,New Zealand,NZ,Manawatu-Wanganui,,790,790
Tutukaka,-35.6100,174.5240,New Zealand,NZ,Northland,,790,790
Kaitangata,-46.2750,169.8500,New Zealand,NZ,Otago,,760,760
Ruby Bay,-41.2360,173.0830,New Zealand,NZ,Tasman,,750,750
Waitarere,-40.5500,175.2000,New Zealand,NZ,Manawatu-Wanganui,,750,750
Tikitere,-38.0650,176.3610,New Zealand,NZ,Bay of Plenty,,750,750
Pukenui,-34.8140,173.1120,New Zealand,NZ,Northland,,750,750
Ranfurly,-45.1333,170.1000,New Zealand,NZ,Otago,,740,740
Bombay,-37.1910,174.9880,New Zealand,NZ,Auckland,,740,740
Kaiteriteri,-41.0331,173.0167,New Zealand,NZ,Tasman,,735,735
Wallacetown,-46.3350,168.2880,New Zealand,NZ,Southland,,730,730
Bunnythorpe,-40.2833,175.6333,New Zealand,NZ,Manawatu-Wanganui,,720,720
Matata,-37.8900,176.7580,New Zealand,NZ,Bay of Plenty,,710,710
Woodbourne,-41.5095,173.8636,New Zealand,NZ,Marlborough,,690,690
Rongotea,-40.2930,175.4250,New Zealand,NZ,Manawatu-Wanganui,,690,690
Horotiu,-37.6986,175.1956,New Zealand,NZ,Waikato,,690,690
Kawakawa Bay,-36.9333,175.1667,New Zealand,NZ,Auckland,,690,690
Whakatu,-39.6050,176.8960,New Zealand,NZ,Hawke’s Bay,,680,680
Waharoa,-37.7600,175.7530,New Zealand,NZ,Waikato,,680,680
Huia,-37.0040,174.5620,New Zealand,NZ,Auckland,,680,680
Mangonui,-34.9910,173.5320,New Zealand,NZ,Northland,,660,660
Coopers Beach,-34.9930,173.5090,New Zealand,NZ,Northland,,660,660
Leigh,-36.2900,174.8020,New Zealand,NZ,Auckland,,650,650
Takapau,-40.0270,176.3490,New Zealand,NZ,Hawke’s Bay,,640,640
Parua Bay,-35.7700,174.4592,New Zealand,NZ,Northland,,640,640
Clevedon,-36.9908,175.0378,New Zealand,NZ,Auckland,,640,640
Sanson,-40.2203,175.4242,New Zealand,NZ,Manawatu-Wanganui,,630,630
Havelock,-41.2831,173.7667,New Zealand,NZ,Marlborough,,630,630
Hāwea Flat,-44.6520,169.2890,New Zealand,NZ,Otago,,630,630
Meremere,-37.3200,175.0690,New Zealand,NZ,Waikato,,620,620
Taitapu,-43.6620,172.5490,New Zealand,NZ,Canterbury,,620,620
Kingseat,-37.1260,174.8000,New Zealand,NZ,Auckland,,620,620
Wyndham,-46.3290,168.8480,New Zealand,NZ,Southland,,600,600
Roxburgh,-45.5400,169.3140,New Zealand,NZ,Otago,,600,600
Luggate,-44.7488,169.2700,New Zealand,NZ,Otago,,600,600
Edendale,-46.3167,168.7833,New Zealand,NZ,Southland,,600,600
Leithfield,-43.1940,172.7410,New Zealand,NZ,Canterbury,,600,600
Tokomaru,-40.4720,175.5090,New Zealand,NZ,Manawatu-Wanganui,,590,590
Dobson,-42.4520,171.3110,New Zealand,NZ,West Coast,,590,590
Te Puru,-37.0467,175.5217,New Zealand,NZ,Waikato,,580,580
Seddon,-41.6700,174.0736,New Zealand,NZ,Marlborough,,580,580
Bannockburn,-45.0890,169.1580,New Zealand,NZ,Otago,,580,580
Point Wells,-36.3220,174.7570,New Zealand,NZ,Auckland,,560,560
Kerepehi,-37.2970,175.5460,New Zealand,NZ,Waikato,,560,560
Paerata,-37.1680,174.8980,New Zealand,NZ,Auckland,,560,560
Springston,-43.6448,172.4262,New Zealand,NZ,Canterbury,,560,560
Tasman,-41.1883,173.0503,New Zealand,NZ,Tasman,,560,560
Port Waikato,-37.3860,174.7310,New Zealand,NZ,Waikato,,560,560
Lake Tekapo,-44.0040,170.4775,New Zealand,NZ,Canterbury,,558,558
Wairakei Village,-38.6190,176.1030,New Zealand,NZ,Waikato,,550,550
Te Karaka,-38.4667,177.8667,New Zealand,NZ,Gisborne,,550,550
Sandspit,-36.3950,174.7210,New Zealand,NZ,Auckland,,550,550
Tuatapere,-46.1300,167.6910,New Zealand,NZ,Southland,,550,550
Pōhara,-40.8340,172.8850,New Zealand,NZ,Tasman,,550,550
Matakana,-36.3517,174.7167,New Zealand,NZ,Auckland,,540,540
Awanui,-35.0478,173.2561,New Zealand,NZ,Northland,,540,540
Rotoiti,-38.0540,176.4720,New Zealand,NZ,Bay of Plenty,,540,540
Te Kopuru,-36.0290,173.9210,New Zealand,NZ,Northland,,530,530
Himatangi Beach,-40.3717,175.2350,New Zealand,NZ,Manawatu-Wanganui,,530,530
Lumsden,-45.7380,168.4420,New Zealand,NZ,Southland,,530,530
Rawene,-35.3961,173.5050,New Zealand,NZ,Northland,,530,530
Parau,-36.9667,174.6170,New Zealand,NZ,Auckland,,530,530
Taupiri,-37.6150,175.1900,New Zealand,NZ,Waikato,,530,530
Eketahuna,-40.6450,175.7030,New Zealand,NZ,Manawatu-Wanganui,,530,530
Franz Josef / Waiau,-43.3880,170.1820,New Zealand,NZ,West Coast,,530,530
Lake Okareka,-38.1680,176.3460,New Zealand,NZ,Bay of Plenty,,520,520
Matarangi,-36.7310,175.6630,New Zealand,NZ,Waikato,,520,520
Warrington,-45.7101,170.5941,New Zealand,NZ,Otago,,510,510
Ruawai,-36.1364,174.0239,New Zealand,NZ,Northland,,500,500
Murchison,-41.8000,172.3333,New Zealand,NZ,Tasman,,500,500
Halcombe,-40.1410,175.4900,New Zealand,NZ,Manawatu-Wanganui,,500,500
Manakau,-40.7150,175.2190,New Zealand,NZ,Manawatu-Wanganui,,500,500
Pareora,-44.4870,171.2090,New Zealand,NZ,Canterbury,,490,490
Te Teko,-38.0361,176.7960,New Zealand,NZ,Bay of Plenty,,480,480
Piopio,-38.4665,175.0155,New Zealand,NZ,Waikato,,480,480
Waiau Pa,-37.1370,174.7520,New Zealand,NZ,Auckland,,480,480
Kerikeri Inlet,-35.2150,174.0270,New Zealand,NZ,Northland,,480,480
Tokomaru Bay,-38.1333,178.3000,New Zealand,NZ,Gisborne,,470,470
Lawrence,-45.9000,169.6833,New Zealand,NZ,Otago,,460,460
Dunsandel,-43.6600,172.1950,New Zealand,NZ,Canterbury,,460,460
Lepperton,-39.0600,174.2100,New Zealand,NZ,Taranaki,,460,460
Omapere,-35.5344,173.3879,New Zealand,NZ,Northland,,450,450
Waihola,-46.0222,170.0973,New Zealand,NZ,Otago,,450,450
Kaiaua,-37.1120,175.2930,New Zealand,NZ,Waikato,,450,450
Hunterville,-39.9360,175.5680,New Zealand,NZ,Manawatu-Wanganui,,430,430
Urenui,-38.9978,174.3903,New Zealand,NZ,Taranaki,,430,430
Karitane,-45.6350,170.6530,New Zealand,NZ,Otago,,420,420
Ashley,-43.2833,172.6000,New Zealand,NZ,Canterbury,,420,420
Manutuke,-38.6820,177.9100,New Zealand,NZ,Gisborne,,420,420
Leithfield Beach,-43.2110,172.7530,New Zealand,NZ,Canterbury,,410,410
Kawhia,-38.0667,174.8167,New Zealand,NZ,Waikato,,410,410
Cust,-43.3111,172.3819,New Zealand,NZ,Canterbury,,410,410
Okere Falls,-38.0160,176.3440,New Zealand,NZ,Bay of Plenty,,410,410
Riversdale,-45.8990,168.7390,New Zealand,NZ,Southland,,405,405
Kakanui,-45.1833,170.9000,New Zealand,NZ,Otago,,402,402
Turua,-37.2419,175.5681,New Zealand,NZ,Waikato,,400,400
Mourea,-38.0480,176.3260,New Zealand,NZ,Bay of Plenty,,399,399
Ahaura,-42.3483,171.5406,New Zealand,NZ,West Coast,,390,390
Puhoi,-36.5120,174.6610,New Zealand,NZ,Auckland,,390,390
Motuoapa,-38.9330,175.8740,New Zealand,NZ,Waikato,,390,390
Grovetown,-41.4811,173.9681,New Zealand,NZ,Marlborough,,380,380
Kurow,-44.7333,170.4667,New Zealand,NZ,Canterbury,,380,380
Karamea,-41.2500,172.1170,New Zealand,NZ,West Coast,,380,380
Paparoa,-36.0983,174.2394,New Zealand,NZ,Northland,,380,380
Glenorchy,-44.8500,168.3833,New Zealand,NZ,Otago,,380,380
Halfmoon Bay,-46.8990,168.1270,New Zealand,NZ,Southland,,378,378
Cheviot,-42.8128,173.2739,New Zealand,NZ,Canterbury,,372,372
Longburn,-40.3833,175.5500,New Zealand,NZ,Manawatu-Wanganui,,370,370
Coalgate,-43.4833,171.9667,New Zealand,NZ,Canterbury,,370,370
Culverden,-42.7760,172.8550,New Zealand,NZ,Canterbury,,370,370
Omakau,-45.1167,169.6000,New Zealand,NZ,Otago,,370,370
Te Horo Beach,-40.7920,175.0820,New Zealand,NZ,Wellington,,360,360
Kingston,-45.3330,168.7160,New Zealand,NZ,Otago,,360,360
Hiwinui,-40.2710,175.7040,New Zealand,NZ,Manawatu-Wanganui,,360,360
Patutahi,-38.6250,177.8911,New Zealand,NZ,Gisborne,,350,350
Egmont Village,-39.1456,174.1450,New Zealand,NZ,Taranaki,,350,350
Tapawera,-41.4000,172.8170,New Zealand,NZ,Tasman,,350,350
Ratana,-40.0400,175.1760,New Zealand,NZ,Manawatu-Wanganui,,345,345
Bowentown,-37.4660,175.9850,New Zealand,NZ,Bay of Plenty,,345,345
Carters Beach,-41.7480,171.5620,New Zealand,NZ,West Coast,,340,340
Baylys Beach,-35.9530,173.7450,New Zealand,NZ,Northland,,340,340
Te Kaha,-37.7400,177.6781,New Zealand,NZ,Bay of Plenty,,340,340
Doyleston,-43.7480,172.3270,New Zealand,NZ,Canterbury,,340,340
Stirling,-46.2480,169.7820,New Zealand,NZ,Otago,,340,340
Karangahake,-37.4210,175.7190,New Zealand,NZ,Waikato,,340,340
Hampden,-45.3277,170.8170,New Zealand,NZ,Otago,,339,339
Waihou,-37.5740,175.6740,New Zealand,NZ,Waikato,,330,330
Sheffield,-43.3889,172.0181,New Zealand,NZ,Canterbury,,324,324
Owaka,-46.4500,169.6670,New Zealand,NZ,Otago,,320,320
Waipara,-43.0560,172.7590,New Zealand,NZ,Canterbury,,320,320
Whatawhata,-37.8000,175.1500,New Zealand,NZ,Waikato,,320,320
Kaponga,-39.4294,174.1494,New Zealand,NZ,Taranaki,,320,320
Waikino,-37.4061,175.7711,New Zealand,NZ,Waikato,,320,320
Glenbrook Beach,-37.1630,174.7130,New Zealand,NZ,Auckland,,320,320
Springfield,-43.3347,171.9282,New Zealand,NZ,Canterbury,,315,315
Tangimoana,-40.2950,175.2480,New Zealand,NZ,Manawatu-Wanganui,,310,310
Nightcaps,-45.9710,168.0320,New Zealand,NZ,Southland,,310,310
Arapuni,-38.0667,175.6500,New Zealand,NZ,Waikato,,310,310
Allanton,-45.9167,170.2670,New Zealand,NZ,Otago,,310,310
Hinds,-44.0000,171.5670,New Zealand,NZ,Canterbury,,310,310
Omarama,-44.4833,169.9667,New Zealand,NZ,Canterbury,,310,310
Fox Glacier,-43.4660,170.0200,New Zealand,NZ,West Coast,,306,306
Kaniere,-42.7481,171.0072,New Zealand,NZ,West Coast,,300,300
Clinton,-46.2000,169.3670,New Zealand,NZ,Otago,,300,300
Karapiro,-37.9190,175.5420,New Zealand,NZ,Waikato,,300,300
Collingwood,-40.6772,172.6828,New Zealand,NZ,Tasman,,300,300
Waitoa,-37.6020,175.6290,New Zealand,NZ,Waikato,,300,300
Blackball,-42.3667,171.4170,New Zealand,NZ,West Coast,,290,290
Maungatapere,-35.7550,174.2078,New Zealand,NZ,Northland,,290,290
Kumara,-42.6333,171.1830,New Zealand,NZ,West Coast,,290,290
Little River,-43.7667,172.7833,New Zealand,NZ,Canterbury,,290,290
Woodend Beach,-43.3371,172.7029,New Zealand,NZ,Canterbury,,290,290
Ross,-42.8989,170.8171,New Zealand,NZ,West Coast,,285,285
Hahei,-36.8400,175.8030,New Zealand,NZ,Waikato,,280,280
Waikari,-42.9690,172.7060,New Zealand,NZ,Canterbury,,280,280
Te Henga,-36.8830,174.4530,New Zealand,NZ,Auckland,,280,280
Taieri Mouth,-46.0543,170.1921,New Zealand,NZ,Otago,,280,280
Woodlands,-46.3590,168.5470,New Zealand,NZ,Southland,,276,276
Opononi,-35.5125,173.3903,New Zealand,NZ,Northland,,270,270
Winchester,-44.1890,171.2800,New Zealand,NZ,Canterbury,,270,270
Ohai,-45.9350,167.9530,New Zealand,NZ,Southland,,270,270
Karekare,-36.9861,174.4800,New Zealand,NZ,Auckland,,270,270
Waitangi,-43.9510,-176.5610,New Zealand,NZ,Chatham Islands,admin,177,177
